# PSIBLAST 2.17.0+
# Iteration: 1
# Query: P30314.2 RecName: Full=DNA polymerase [Bacillus phage SPO1]
# Database: /home/VMAULES/ruizven2/bioinfo/practicas/data/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 63 hits found
P30314.2	P30314.2	100.000	924	0	0	1	924	1	924	0.0	1899
P30314.2	Q9HT80.1	29.238	643	370	15	238	870	345	912	6.03e-70	253
P30314.2	P00582.1	29.606	635	365	12	243	870	368	927	3.14e-67	245
P30314.2	Q9F173.2	28.976	635	369	12	243	870	368	927	5.35e-66	242
P30314.2	P43741.1	27.543	639	371	13	243	870	372	929	2.08e-59	223
P30314.2	P30313.1	29.747	474	262	9	401	872	427	831	1.68e-52	201
P30314.2	O52225.1	30.061	489	261	11	384	870	421	830	2.23e-52	201
P30314.2	P19821.1	29.461	482	269	9	393	872	420	832	3.85e-52	200
P30314.2	O08307.1	26.349	630	386	13	243	867	377	933	9.43e-51	197
P30314.2	Q59156.2	30.103	485	269	9	384	867	431	846	9.52e-51	196
P30314.2	Q9S1G2.1	28.433	619	341	16	247	841	450	990	1.53e-50	196
P30314.2	P52028.2	29.060	468	269	8	376	841	405	811	5.76e-50	193
P30314.2	P80194.2	29.194	459	262	8	384	840	413	810	1.75e-49	192
P30314.2	P59199.1	34.870	347	210	7	497	840	521	854	7.51e-49	190
P30314.2	P59200.1	34.294	347	212	6	497	840	521	854	9.78e-49	190
P30314.2	Q04957.1	34.006	347	214	6	497	841	522	855	5.42e-48	187
P30314.2	O32801.2	28.177	543	320	11	300	840	380	854	5.99e-48	187
P30314.2	P52026.2	33.526	346	216	5	497	841	522	854	8.62e-48	187
P30314.2	O34996.1	32.817	387	238	7	485	870	514	879	1.48e-47	186
P30314.2	Q9CDS1.1	27.993	543	321	11	300	840	380	854	3.10e-47	185
P30314.2	P19822.3	27.564	624	347	21	247	820	169	737	7.54e-47	184
P30314.2	P74933.2	26.264	613	349	14	272	869	471	995	2.84e-45	180
P30314.2	P46835.1	30.133	375	241	7	498	870	554	909	4.18e-43	173
P30314.2	O51498.1	25.187	667	395	21	213	869	334	906	4.33e-42	169
P30314.2	P0A551.1	30.789	380	233	7	498	874	550	902	5.87e-42	169
P30314.2	P52027.2	25.866	491	291	10	381	869	535	954	1.24e-41	168
